Sentence,Sentiment
Tesco share price jumps as Q3 sales top estimates,1
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,1
AstraZeneca profit down as sales of stalwarts fade,0
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",1
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,1
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,0
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",1
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",1
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",0
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",1
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",0
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",1
$YANG Double bottom 5.2,1
Tesco share price down as grocer faces SFO investigation outcome,0
$aapl news is becoming very bullish again http://stks.co/tMU,1
$TSLA recall,0
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,1
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",0
Aberdeen Asset Management Gains Foothold In China,1
$GOOGL is a short below 740 into the upper BB and is overbought,0
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",0
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",1
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",1
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,1
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",0
$AAPL nibbling on a small long via 525.. buying off 13min charts..,1
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,0
"$TYC just about to break out to new highs, lots of technicals looking great right now.",1
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",0
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",1
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",1
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,1
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",1
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,1
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",0
RT @bman1 $LNG looks primed also $EGHT poised to run too...,1
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,1
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",1
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,1
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",0
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,1
$VMW  Got a nice push today following small sweepers of May C this morning,1
That topped consensus forecasts for earnings of 0.21 euros a share .,1
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",1
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,1
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",0
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",0
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",1
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,1
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",0
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",1
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",1
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,1
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",1
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",1
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",1
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",1
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",0
The main strength of the cooperation project lies in merging the know-how of two large companies .,1
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,1
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,0
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",1
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,1
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,0
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",1
Just went long $ILMN,1
Johnson Matthey share price slumps as company posts full-year results,0
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,1
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",0
The number of bodily injury cases quadrupled in 2000-2006 .,0
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",1
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,1
And U.S. energy executives say high steel prices are threatening energy exploration .,0
Tesco sales rise shows tentative recovery continues,1
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,1
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",1
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,0
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,1
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,0
"$TSLA steaming up again, this stock is relentless at the moment",1
Whitbread share price climbs on Q4 sales growth,1
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",1
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",0
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",1
"Thus the method will cut working costs , and will fasten the planning and building processes .",1
Talentum 's net sales in September were smaller than expected .,0
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,0
"Tesco, Asda sales fall as march of the discounters continues-Kantar",0
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,1
Altogether Finnair has canceled over 500 flights because of the strike .,0
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,1
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",1
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",1
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,1
Slump in Weir leads FTSE down from record high,0
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",0
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,1
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",1
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,0
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,1
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",0
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",1
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,0
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",1
Aviva promises higher dividends to boost flagging share price,1
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",1
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,0
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,1
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",1
"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",1
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",0
The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,1
FDA approves AstraZeneca drug for advanced lung cancer,1
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",1
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,0
WPP boosts sales despite cautious clients,1
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",0
`` Consumers have very well received our packed fresh meat .,1
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",1
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",1
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",1
( I&H ) in a move to enhance growth .,1
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,0
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",1
$AAPL price momentum weakening going into the close.,0
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,1
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",0
TalkTalk hires BAE Systems to investigate cyber attack,0
"FTSE led lower by M&S, GlaxoSmithKline",0
Full-year operating result for 2008 was 3.6 million negative .,0
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
Barclays sells benchmark indices unit to Bloomberg,1
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,1
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",1
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",1
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,0
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",1
Shire Sees Baxalta Deal Closing as Expected After New Rules,1
Sanoma News ' advertising sales decreased by 22 % during the year .,0
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",0
The maritime administration said the ships had ignored warnings about the icy conditions .,0
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,1
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,1
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",1
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",1
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",1
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",1
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",1
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",0
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",1
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",1
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,0
The total need for staff cuts corresponds to about 300 man-years .,0
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,1
CompaniesFresnillo shares jump 8% as silver price breaks $21,1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",1
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,1
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",1
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,0
$DARA breaking out,1
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,1
Shire says internal synergy goals from Baxalta deal higher,1
$GNRC finding support at its 10-day line so far.,1
"Britain's FTSE falls back with Ashtead, commodities under pressure",0
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,1
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",0
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,1
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",1
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,1
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,0
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",1
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",1
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",0
City spirits sink after Diageo comes up short with sales slide,0
Olvi has posted a strong set of figures for the first six months of this year .,1
StanChart and RBS struggle in Bank of England stress tests,0
"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",1
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",0
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",1
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,0
"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",1
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",0
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",1
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",0
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",1
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,0
Orders received grew by 55 % year-on-year to EUR732m .,1
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",0
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",1
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",1
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",1
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",0
Royal Mail chairman Donald Brydon set to step down,0
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",1
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",1
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",1
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,1
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,1
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,1
Morrisons finance chief to fill gap as CEO leaves early,0
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",1
BAE Systems's sales boosted by European Typhoon and currencies,1
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",1
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",1
$AAPL Dips being bought up real quick. Higher lows fo sho,1
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",1
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",0
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,1
All of Raisio 's divisions recorded an operating profit .,1
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0
"Buffett's Berkshire builds Deere stake, dumps Exxon",1
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,1
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",1
$MXWL Oh snap. Just went long again. LT,1
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,0
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",1
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,1
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",0
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,1
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,1
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",1
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,0
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,1
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",1
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",1
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",1
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",1
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),1
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",1
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",1
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,1
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",1
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,1
Glencore fight back over debt fears lifts shares,1
$FB slight green... May be runner later,1
Net sales have been eaten by the weak US dollar .,0
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,0
It estimates the operating profit to further improve from the third quarter .,1
Tesco sales recover as focus returns to core business,1
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,0
The actions are expected to deliver annual cost savings of some EUR15-20m .,1
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,1
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,1
Sports equipment sales also progressed well owing to the prolonged winter season .,1
pretty steady accumulation off support today.  Purdy. $AGU,1
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",0
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",1
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,1
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",1
Sainsbury's says to outperform rivals in tough market,1
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,1
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,1
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,1
Hargreaves Lansdown share price falls as costs mount - although pensions ...,0
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",1
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,1
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',1
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",1
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",0
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",1
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",1
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,1
$PCLN runs into the 50sma on the acquisition news,1
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",1
